OUTPUT:

Vasicek optimized parameters: a = 0.0018759731562042567, b = 2.5811470673215773, sigma = 0.056765551548106426
CIR optimized parameters: a = 0.0018759731562042418, b = 2.581146487427231, sigma = 0.05676555154810597

      Date  Actual_IR  Predicted_IR_Vasicek  Predicted_IR_CIR  Vasicek_volatility  CIR_volatility
2021-01-04       0.93              0.930000          0.930000            0.000000        0.000000
2021-01-05       0.96              0.990495          0.833266            0.030495        0.126734
2021-01-06       1.04              0.946173          0.821089            0.093827        0.218911
2021-01-07       1.08              1.004758          0.751644            0.075242        0.328356
2021-01-08       1.13              0.998275          0.743043            0.131725        0.386957
2021-01-11       1.15              0.955037          0.729073            0.194963        0.420927
2021-01-12       1.15              0.968714          0.687025            0.181286        0.462975
2021-01-13       1.10              0.991814          0.606517            0.108186        0.493483
2021-01-14       1.15              0.998843          0.626057            0.151157        0.523943
2021-01-15       1.11              0.916391          0.535736            0.193609        0.574264
2021-01-19       1.10              0.933168          0.570687            0.166832        0.529313
2021-01-20       1.10              0.808447          0.467432            0.291553        0.632568
2021-01-21       1.12              0.860337          0.462798            0.259663        0.657202
2021-01-22       1.10              0.859710          0.527894            0.240290        0.572106
2021-01-25       1.05              0.850552          0.554001            0.199448        0.495999
2021-01-26       1.05              0.934719          0.606701            0.115281        0.443299
2021-01-27       1.04              0.919469          0.713019            0.120531        0.326981
2021-01-28       1.07              0.961943          0.719532            0.108057        0.350468
2021-01-29       1.11              0.917981          0.723453            0.192019        0.386547
2021-02-01       1.09              0.842191          0.737961            0.247809        0.352039
2021-02-02       1.12              0.907177          0.747987            0.212823        0.372013
2021-02-03       1.15              0.826738          0.644893            0.323262        0.505107
2021-02-04       1.15              0.776596          0.726302            0.373404        0.423698
2021-02-05       1.19              0.839295          0.780967            0.350705        0.409033
2021-02-08       1.19              0.910714          0.928672            0.279286        0.261328
2021-02-09       1.18              0.798971          0.875255            0.381029        0.304745
2021-02-10       1.15              0.887023          0.907455            0.262977        0.242545
2021-02-11       1.16              0.952227          0.966859            0.207773        0.193141
2021-02-12       1.20              0.953596          1.012260            0.246404        0.187740
2021-02-16       1.30              1.014209          1.032449            0.285791        0.267551
2021-02-17       1.29              1.101064          1.033163            0.188936        0.256837
